,date,SEMANA,FECHA
2,2020-02-17,2020-07,2020-02-17
9,2020-02-24,2020-08,2020-02-24
16,2020-03-02,2020-09,2020-03-02
23,2020-03-09,2020-10,2020-03-09
30,2020-03-16,2020-11,2020-03-16
37,2020-03-23,2020-12,2020-03-23
44,2020-03-30,2020-13,2020-03-30
51,2020-04-06,2020-14,2020-04-06
58,2020-04-13,2020-15,2020-04-13
65,2020-04-20,2020-16,2020-04-20
72,2020-04-27,2020-17,2020-04-27
79,2020-05-04,2020-18,2020-05-04
86,2020-05-11,2020-19,2020-05-11
93,2020-05-18,2020-20,2020-05-18
100,2020-05-25,2020-21,2020-05-25
107,2020-06-01,2020-22,2020-06-01
114,2020-06-08,2020-23,2020-06-08
121,2020-06-15,2020-24,2020-06-15
128,2020-06-22,2020-25,2020-06-22
135,2020-06-29,2020-26,2020-06-29
142,2020-07-06,2020-27,2020-07-06
149,2020-07-13,2020-28,2020-07-13
156,2020-07-20,2020-29,2020-07-20
163,2020-07-27,2020-30,2020-07-27
170,2020-08-03,2020-31,2020-08-03
177,2020-08-10,2020-32,2020-08-10
187,2020-09-14,2020-37,2020-09-14
194,2020-09-21,2020-38,2020-09-21
201,2020-09-28,2020-39,2020-09-28
208,2020-10-05,2020-40,2020-10-05
215,2020-10-12,2020-41,2020-10-12
222,2020-10-19,2020-42,2020-10-19
229,2020-10-26,2020-43,2020-10-26
236,2020-11-02,2020-44,2020-11-02
243,2020-11-09,2020-45,2020-11-09
250,2020-11-16,2020-46,2020-11-16
257,2020-11-23,2020-47,2020-11-23
264,2020-11-30,2020-48,2020-11-30
271,2020-12-07,2020-49,2020-12-07
278,2020-12-14,2020-50,2020-12-14
285,2020-12-21,2020-51,2020-12-21
292,2020-12-28,2020-52,2020-12-28
299,2021-01-04,2021-01,2021-01-04
306,2021-01-11,2021-02,2021-01-11
313,2021-01-18,2021-03,2021-01-18
320,2021-01-25,2021-04,2021-01-25
327,2021-02-01,2021-05,2021-02-01
334,2021-02-08,2021-06,2021-02-08
341,2021-02-15,2021-07,2021-02-15
348,2021-02-22,2021-08,2021-02-22
2314,2020-08-17,2020-33,2020-08-17
2321,2020-08-24,2020-34,2020-08-24
2328,2020-08-31,2020-35,2020-08-31
2335,2020-09-07,2020-36,2020-09-07
2342,2021-03-01,2021-09,2021-03-01
